seed,step,dataset,muh_fun,method,coverage,width,muh_test,y_test
4,1,Florescent,ridge,full_ex,1.0,0.58,0.1836730301053351,0.1686761902972114
4,1,Florescent,ridge,full_1fcs,1.0,0.62,0.1836730301053351,0.1686761902972114
4,1,Florescent,ridge,full_mfcs,1.0,0.62,0.1836730301053351,0.1686761902972114
4,2,Florescent,ridge,full_ex,1.0,0.42,0.022592352589700153,0.13325414886850137
4,2,Florescent,ridge,full_1fcs,1.0,0.38,0.022592352589700153,0.13325414886850137
4,2,Florescent,ridge,full_mfcs,1.0,0.78,0.022592352589700153,0.13325414886850137
4,3,Florescent,ridge,full_ex,1.0,0.52,0.13323597732882023,0.13810545273661595
4,3,Florescent,ridge,full_1fcs,1.0,0.5,0.13323597732882023,0.13810545273661595
4,3,Florescent,ridge,full_mfcs,1.0,0.5,0.13323597732882023,0.13810545273661595
4,4,Florescent,ridge,full_ex,1.0,0.52,0.13567051511493305,0.13859915007826923
4,4,Florescent,ridge,full_1fcs,1.0,0.48,0.13567051511493305,0.13859915007826923
4,4,Florescent,ridge,full_mfcs,1.0,0.52,0.13567051511493305,0.13859915007826923
4,5,Florescent,ridge,full_ex,1.0,0.52,0.13664667332964314,0.13802219499154314
4,5,Florescent,ridge,full_1fcs,1.0,0.52,0.13664667332964314,0.13802219499154314
4,5,Florescent,ridge,full_mfcs,1.0,0.52,0.13664667332964314,0.13802219499154314
5,1,Florescent,ridge,full_ex,0.0,1.18,0.7212967035010552,1.5532767834816574
5,1,Florescent,ridge,full_1fcs,1.0,2.22,0.7212967035010552,1.5532767834816574
5,1,Florescent,ridge,full_mfcs,1.0,2.22,0.7212967035010552,1.5532767834816574
5,2,Florescent,ridge,full_ex,1.0,1.1,1.1205114336779767,0.7868532169204187
5,2,Florescent,ridge,full_1fcs,1.0,1.46,1.1205114336779767,0.7868532169204187
5,2,Florescent,ridge,full_mfcs,1.0,1.6400000000000001,1.1205114336779767,0.7868532169204187
5,3,Florescent,ridge,full_ex,1.0,1.08,0.7869647223047598,0.8599097336968561
5,3,Florescent,ridge,full_1fcs,1.0,1.46,0.7869647223047598,0.8599097336968561
5,3,Florescent,ridge,full_mfcs,1.0,1.46,0.7869647223047598,0.8599097336968561
5,4,Florescent,ridge,full_ex,1.0,1.06,0.8234311326010777,0.7008622731898854
5,4,Florescent,ridge,full_1fcs,1.0,1.34,0.8234311326010777,0.7008622731898854
5,4,Florescent,ridge,full_mfcs,1.0,1.34,0.8234311326010777,0.7008622731898854
5,5,Florescent,ridge,full_ex,1.0,1.08,0.7825793984038261,0.8718932976146042
5,5,Florescent,ridge,full_1fcs,1.0,1.36,0.7825793984038261,0.8718932976146042
5,5,Florescent,ridge,full_mfcs,1.0,1.36,0.7825793984038261,0.8718932976146042
6,1,Florescent,ridge,full_ex,1.0,1.28,0.7119240952417872,0.9828488278706067
6,1,Florescent,ridge,full_1fcs,1.0,2.22,0.7119240952417872,0.9828488278706067
6,1,Florescent,ridge,full_mfcs,1.0,2.22,0.7119240952417872,0.9828488278706067
6,2,Florescent,ridge,full_ex,0.0,0.92,0.41625023834933206,0.9973935499512651
6,2,Florescent,ridge,full_1fcs,0.0,1.18,0.41625023834933206,0.9973935499512651
6,2,Florescent,ridge,full_mfcs,0.0,1.3800000000000001,0.41625023834933206,0.9973935499512651
6,3,Florescent,ridge,full_ex,1.0,1.22,0.9972830033805735,0.9884260889656336
6,3,Florescent,ridge,full_1fcs,1.0,1.36,0.9972830033805735,0.9884260889656336
6,3,Florescent,ridge,full_mfcs,1.0,1.6,0.9972830033805735,0.9884260889656336
6,4,Florescent,ridge,full_ex,1.0,1.02,0.9928549674082683,0.9885984809613227
6,4,Florescent,ridge,full_1fcs,1.0,1.48,0.9928549674082683,0.9885984809613227
6,4,Florescent,ridge,full_mfcs,1.0,1.28,0.9928549674082683,0.9885984809613227
6,5,Florescent,ridge,full_ex,1.0,1.02,0.9914362285708681,0.9920998682814067
6,5,Florescent,ridge,full_1fcs,1.0,1.52,0.9914362285708681,0.9920998682814067
6,5,Florescent,ridge,full_mfcs,1.0,1.32,0.9914362285708681,0.9920998682814067
7,1,Florescent,ridge,full_ex,1.0,0.5,0.17359839280287265,0.08624876505052612
7,1,Florescent,ridge,full_1fcs,1.0,0.7000000000000001,0.17359839280287265,0.08624876505052612
7,1,Florescent,ridge,full_mfcs,1.0,0.7000000000000001,0.17359839280287265,0.08624876505052612
7,2,Florescent,ridge,full_ex,1.0,0.5,0.17580662178941803,0.060253943149367384
7,2,Florescent,ridge,full_1fcs,1.0,0.98,0.17580662178941803,0.060253943149367384
7,2,Florescent,ridge,full_mfcs,1.0,1.3,0.17580662178941803,0.060253943149367384
7,3,Florescent,ridge,full_ex,1.0,0.38,0.06028784158653761,0.09798518662774972
7,3,Florescent,ridge,full_1fcs,1.0,0.66,0.06028784158653761,0.09798518662774972
7,3,Florescent,ridge,full_mfcs,1.0,0.76,0.06028784158653761,0.09798518662774972
7,4,Florescent,ridge,full_ex,1.0,0.4,0.07913374898629826,0.08867007356119347
7,4,Florescent,ridge,full_1fcs,1.0,0.8200000000000001,0.07913374898629826,0.08867007356119347
7,4,Florescent,ridge,full_mfcs,1.0,0.8200000000000001,0.07913374898629826,0.08867007356119347
7,5,Florescent,ridge,full_ex,1.0,0.4,0.08231221294284588,0.07253517908003267
7,5,Florescent,ridge,full_1fcs,1.0,0.84,0.08231221294284588,0.07253517908003267
7,5,Florescent,ridge,full_mfcs,1.0,0.84,0.08231221294284588,0.07253517908003267
