seed,step,dataset,muh_fun,method,coverage,width,muh_test,y_test
6,2,Florescent,ridge,full_mfcs,1.0,1.0,0.14997436100481687,0.07007235990772101
6,3,Florescent,ridge,full_ex,1.0,0.88,0.1315150602100148,0.14418988232798793
6,3,Florescent,ridge,full_1fcs,1.0,0.74,0.1315150602100148,0.14418988232798793
6,3,Florescent,ridge,full_mfcs,1.0,0.96,0.1315150602100148,0.14418988232798793
6,4,Florescent,ridge,full_ex,1.0,0.88,0.14418742473583976,0.14328146633635805
6,4,Florescent,ridge,full_1fcs,1.0,0.74,0.14418742473583976,0.14328146633635805
6,4,Florescent,ridge,full_mfcs,1.0,0.74,0.14418742473583976,0.14328146633635805
6,5,Florescent,ridge,full_ex,1.0,0.88,0.1437344894570592,0.12040825308006477
6,5,Florescent,ridge,full_1fcs,1.0,0.74,0.1437344894570592,0.12040825308006477
6,5,Florescent,ridge,full_mfcs,1.0,0.74,0.1437344894570592,0.12040825308006477
7,1,Florescent,ridge,full_ex,0.0,0.68,0.25625309760448456,0.9935457219100197
7,1,Florescent,ridge,full_1fcs,0.0,1.48,0.25625309760448456,0.9935457219100197
7,1,Florescent,ridge,full_mfcs,0.0,1.48,0.25625309760448456,0.9935457219100197
7,2,Florescent,ridge,full_ex,1.0,0.84,0.0755272619630381,0.010983413369322625
7,2,Florescent,ridge,full_1fcs,1.0,0.88,0.0755272619630381,0.010983413369322625
7,2,Florescent,ridge,full_mfcs,1.0,0.88,0.0755272619630381,0.010983413369322625
7,3,Florescent,ridge,full_ex,1.0,0.68,0.18381745021725424,0.14249713638951506
7,3,Florescent,ridge,full_1fcs,1.0,1.04,0.18381745021725424,0.14249713638951506
7,3,Florescent,ridge,full_mfcs,1.0,1.3,0.18381745021725424,0.14249713638951506
7,4,Florescent,ridge,full_ex,1.0,0.58,0.05923610159487322,0.03514973858046019
7,4,Florescent,ridge,full_1fcs,1.0,0.58,0.05923610159487322,0.03514973858046019
7,4,Florescent,ridge,full_mfcs,1.0,0.58,0.05923610159487322,0.03514973858046019
7,5,Florescent,ridge,full_ex,1.0,0.68,0.1766030432772383,0.14282212800881103
7,5,Florescent,ridge,full_1fcs,1.0,0.7000000000000001,0.1766030432772383,0.14282212800881103
7,5,Florescent,ridge,full_mfcs,1.0,0.74,0.1766030432772383,0.14282212800881103
8,1,Florescent,ridge,full_ex,1.0,0.6,0.15094785279882053,0.13590717273815273
8,1,Florescent,ridge,full_1fcs,1.0,1.24,0.15094785279882053,0.13590717273815273
8,1,Florescent,ridge,full_mfcs,1.0,1.24,0.15094785279882053,0.13590717273815273
8,2,Florescent,ridge,full_ex,1.0,0.54,0.05202451639915528,0.08468887839989997
8,2,Florescent,ridge,full_1fcs,1.0,0.64,0.05202451639915528,0.08468887839989997
8,2,Florescent,ridge,full_mfcs,1.0,1.06,0.05202451639915528,0.08468887839989997
8,3,Florescent,ridge,full_ex,1.0,0.64,0.14290299324547137,0.10203340081139567
8,3,Florescent,ridge,full_1fcs,1.0,0.92,0.14290299324547137,0.10203340081139567
8,3,Florescent,ridge,full_mfcs,1.0,1.36,0.14290299324547137,0.10203340081139567
8,4,Florescent,ridge,full_ex,1.0,0.46,0.016349792527856677,0.19321807109018047
8,4,Florescent,ridge,full_1fcs,1.0,0.78,0.016349792527856677,0.19321807109018047
8,4,Florescent,ridge,full_mfcs,1.0,1.2,0.016349792527856677,0.19321807109018047
8,5,Florescent,ridge,full_ex,1.0,0.62,0.16453814687276397,0.12892779991325826
8,5,Florescent,ridge,full_1fcs,1.0,1.22,0.16453814687276397,0.12892779991325826
8,5,Florescent,ridge,full_mfcs,1.0,1.5,0.16453814687276397,0.12892779991325826
9,1,Florescent,ridge,full_ex,1.0,0.86,0.2583951414931645,0.17861928688189124
9,1,Florescent,ridge,full_1fcs,1.0,0.9400000000000001,0.2583951414931645,0.17861928688189124
9,1,Florescent,ridge,full_mfcs,1.0,0.9400000000000001,0.2583951414931645,0.17861928688189124
9,2,Florescent,ridge,full_ex,1.0,0.92,0.2509937537614516,0.16626664836437338
9,2,Florescent,ridge,full_1fcs,1.0,1.04,0.2509937537614516,0.16626664836437338
9,2,Florescent,ridge,full_mfcs,1.0,1.44,0.2509937537614516,0.16626664836437338
9,3,Florescent,ridge,full_ex,1.0,0.84,0.2449963053409437,0.04549789704045773
9,3,Florescent,ridge,full_1fcs,1.0,0.8,0.2449963053409437,0.04549789704045773
9,3,Florescent,ridge,full_mfcs,1.0,0.8,0.2449963053409437,0.04549789704045773
9,4,Florescent,ridge,full_ex,1.0,1.06,0.3460583150004509,0.09365377571499188
9,4,Florescent,ridge,full_1fcs,1.0,1.16,0.3460583150004509,0.09365377571499188
9,4,Florescent,ridge,full_mfcs,1.0,1.16,0.3460583150004509,0.09365377571499188
