seed,step,dataset,muh_fun,method,coverage,width,muh_test,y_test
0,1,Florescent,ridge,full_ex,0.0,0.92,0.5256876012464412,1.6218894094293255
0,1,Florescent,ridge,full_1fcs,0.0,1.04,0.5256876012464412,1.6218894094293255
0,1,Florescent,ridge,full_mfcs,0.0,1.04,0.5256876012464412,1.6218894094293255
0,2,Florescent,ridge,full_ex,1.0,1.26,1.166862617603942,0.6146044966058056
0,2,Florescent,ridge,full_1fcs,1.0,2.22,1.166862617603942,0.6146044966058056
0,2,Florescent,ridge,full_mfcs,1.0,2.22,1.166862617603942,0.6146044966058056
0,3,Florescent,ridge,full_ex,1.0,1.3,0.6147899822464364,0.7327651312170371
0,3,Florescent,ridge,full_1fcs,1.0,1.72,0.6147899822464364,0.7327651312170371
0,3,Florescent,ridge,full_mfcs,1.0,1.72,0.6147899822464364,0.7327651312170371
0,4,Florescent,ridge,full_ex,1.0,1.22,0.6737676490579497,0.7731892539932839
0,4,Florescent,ridge,full_1fcs,1.0,1.5,0.6737676490579497,0.7731892539932839
0,4,Florescent,ridge,full_mfcs,1.0,1.48,0.6737676490579497,0.7731892539932839
0,5,Florescent,ridge,full_ex,1.0,1.22,0.7069044729258219,0.4322380190640247
0,5,Florescent,ridge,full_1fcs,1.0,1.56,0.7069044729258219,0.4322380190640247
0,5,Florescent,ridge,full_mfcs,1.0,1.56,0.7069044729258219,0.4322380190640247
1,1,Florescent,ridge,full_ex,1.0,0.48,0.22026734506124185,0.10487127859232473
1,1,Florescent,ridge,full_1fcs,1.0,1.3,0.22026734506124185,0.10487127859232473
1,1,Florescent,ridge,full_mfcs,1.0,1.3,0.22026734506124185,0.10487127859232473
1,2,Florescent,ridge,full_ex,1.0,0.36,0.12996584679974313,0.13543339772907517
1,2,Florescent,ridge,full_1fcs,1.0,0.8,0.12996584679974313,0.13543339772907517
1,2,Florescent,ridge,full_mfcs,1.0,1.2,0.12996584679974313,0.13543339772907517
1,3,Florescent,ridge,full_ex,1.0,0.38,0.13543247211359116,0.06471181035990889
1,3,Florescent,ridge,full_1fcs,1.0,0.46,0.13543247211359116,0.06471181035990889
1,3,Florescent,ridge,full_mfcs,1.0,0.46,0.13543247211359116,0.06471181035990889
1,4,Florescent,ridge,full_ex,1.0,0.34,0.1000751346106337,0.11190054344996206
1,4,Florescent,ridge,full_1fcs,1.0,0.42,0.1000751346106337,0.11190054344996206
1,4,Florescent,ridge,full_mfcs,1.0,0.42,0.1000751346106337,0.11190054344996206
1,5,Florescent,ridge,full_ex,1.0,0.34,0.10401671509290604,0.0
1,5,Florescent,ridge,full_1fcs,1.0,0.42,0.10401671509290604,0.0
1,5,Florescent,ridge,full_mfcs,1.0,0.42,0.10401671509290604,0.0
2,1,Florescent,ridge,full_ex,1.0,1.08,0.2525296893397783,0.0862179661722225
2,1,Florescent,ridge,full_1fcs,1.0,1.12,0.2525296893397783,0.0862179661722225
2,1,Florescent,ridge,full_mfcs,1.0,1.12,0.2525296893397783,0.0862179661722225
2,2,Florescent,ridge,full_ex,1.0,1.0,0.3144882398915056,0.07445276847892923
2,2,Florescent,ridge,full_1fcs,1.0,1.0,0.3144882398915056,0.07445276847892923
2,2,Florescent,ridge,full_mfcs,1.0,1.0,0.3144882398915056,0.07445276847892923
2,3,Florescent,ridge,full_ex,1.0,0.78,0.07453459032734039,0.07774318537717817
2,3,Florescent,ridge,full_1fcs,1.0,0.88,0.07453459032734039,0.07774318537717817
